host_original	host_clean	species	genus	family	order	class	phylum	kingdom
Lophuromys chrysopus	Lophuromys chrysopus	Lophuromys chrysopus	Lophuromys	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Felis catus (domestic cat)	Felis catus	Felis catus	Felis	Felidae	Carnivora	Mammalia	Chordata	Metazoa
Rhipicephalus sanguineus	Rhipicephalus sanguineus	Rhipicephalus sanguineus	Rhipicephalus	Ixodidae	Ixodida	Arachnida	Arthropoda	Metazoa
goat	Capra hircus	Capra hircus	Capra	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Niviventer confucianus	Niviventer confucianus	Niviventer confucianus	Niviventer	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Apodemus chevrieri	Apodemus chevrieri	Apodemus chevrieri	Apodemus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Crocidura fuliginosa	Crocidura fuliginosa	Crocidura fuliginosa	Crocidura	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Eothenomys miletus	Eothenomys miletus	Eothenomys miletus	Eothenomys	Cricetidae	Rodentia	Mammalia	Chordata	Metazoa
Rattus nitidus	Rattus nitidus	Rattus nitidus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Niviventer huang	Niviventer huang	Niviventer huang	Niviventer	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Leopoldamys neilli	Leopoldamys neilli	Leopoldamys neilli	Leopoldamys	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Araneus ventricosus	Araneus ventricosus	Araneus ventricosus	Araneus	Araneidae	Araneae	Arachnida	Arthropoda	Metazoa
Helobdella robusta	Helobdella robusta	Helobdella robusta	Helobdella	Glossiphoniidae	Rhynchobdellida	Clitellata	Annelida	Metazoa
Gekko chinensis	Gekko chinensis	Gekko chinensis	Gekko	Gekkonidae	Squamata	Lepidosauria	Chordata	Metazoa
Hemidactylus frenatus	Hemidactylus frenatus	Hemidactylus frenatus	Hemidactylus	Gekkonidae	Squamata	Lepidosauria	Chordata	Metazoa
Eolophus roseicapilla	Eolophus roseicapilla	Eolophus roseicapilla	Eolophus	Cacatuidae	Psittaciformes	Aves	Chordata	Metazoa
Alisterus scapularis	Alisterus scapularis	Alisterus scapularis	Alisterus	Psittacidae	Psittaciformes	Aves	Chordata	Metazoa
Acalles camelus	Acalles camelus	Acalles camelus	Acalles	Curculionidae	Coleoptera	Insecta	Arthropoda	Metazoa
Columba livia	Columba livia	Columba livia	Columba	Columbidae	Columbiformes	Aves	Chordata	Metazoa
Mormopterus francoismoutoui	Mormopterus francoismoutoui	Mormopterus francoismoutoui	Mormopterus	Molossidae	Chiroptera	Mammalia	Chordata	Metazoa
dairy cow	Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Nyctereutes procyonoides(racoon dog)	Nyctereutes procyonoides	Nyctereutes procyonoides	Nyctereutes	Canidae	Carnivora	Mammalia	Chordata	Metazoa
Ortmanniana pectorosa	Ortmanniana pectorosa	Lampsilis pectorosa	Lampsilis	Unionidae	Unionida	Bivalvia	Mollusca	Metazoa
Myotis macrodactylus	Myotis macrodactylus	Myotis macrodactylus	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus fuliginosus	Miniopterus fuliginosus	Miniopterus fuliginosus	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Anser indicus (Bar-headed goose)	Anser indicus	Anser indicus	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
duck; breed: muscovy	Anas platyrhynchos	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Procambarus clarkii	Procambarus clarkii	Procambarus clarkii	Procambarus	Cambaridae	Decapoda	Malacostraca	Arthropoda	Metazoa
Urva auropunctata	Urva auropunctata	Urva auropunctata	Urva	Herpestidae	Carnivora	Mammalia	Chordata	Metazoa
Bos mutus	Bos mutus	Bos mutus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
calf	Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Jiangnan White Goose	Anser cygnoides	Anser cygnoides	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Mareca falcata	Mareca falcata	Mareca falcata	Mareca	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Crocidura tanakae	Crocidura tanakae	Crocidura tanakae	Crocidura	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Crocidura shantungensis	Crocidura shantungensis	Crocidura shantungensis	Crocidura	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Crocidura lasiura	Crocidura lasiura	Crocidura lasiura	Crocidura	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Oryctes sp.	Oryctes	NA	Oryctes	Solanaceae	Solanales	Magnoliopsida	Streptophyta	Viridiplantae
carrier pigeon	Columba livia	Columba livia	Columba	Columbidae	Columbiformes	Aves	Chordata	Metazoa
Rousettus madagascariensis	Rousettus madagascariensis	Rousettus madagascariensis	Rousettus	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
