GBAC,1A,1A-chain,1B,1B-chain,2,2-chain
PP872045,0-2187,1,NA-NA,NA,NA-NA,NA
PP872044,NA-NA,NA,0-1032,1,NA-NA,NA
PP872043,0-3621,1,NA-NA,NA,3430-5491,1
PP872042,0-957,1,NA-NA,NA,NA-NA,NA
PP872041,NA-NA,NA,0-1293,1,NA-NA,NA
PP872040,NA-NA,NA,0-354,1,346-2662,1
PP872039,0-1602,1,NA-NA,NA,NA-NA,NA
PP872038,NA-NA,NA,0-1119,1,1111-3214,1
PP872037,NA-NA,NA,NA-NA,NA,0-753,1
PP872036,0-2526,1,NA-NA,NA,NA-NA,NA
PP872035,0-672,1,NA-NA,NA,NA-NA,NA
PP872034,NA-NA,NA,NA-NA,NA,0-2322,1
